Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiverSAT,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,98151275.7,3413.5,,96923802.6,3417.2,,94318205.8,3418.0
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,97856791.6,3400.0,,96670094.9,3458.9,,94014234.4,3459.7
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,97928228.8,3430.0,,96667534.8,3464.8,,94014629.5,3465.4
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,98255429.5,3388.8,,96978291.9,3368.6,,94330058.5,3389.9
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,98310022.0,3429.4,,96983014.1,3410.3,,94283860.2,3432.9
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,98124651.2,3482.2,,96814962.8,3483.4,,94210951.8,3484.0
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,98140815.6,3517.8,,96821786.0,3518.2,,94198295.7,3518.8
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,98010404.9,3217.7,,96619843.5,3371.8,,94116268.6,3375.0
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,98018790.7,3278.2,,96628977.8,3406.0,,94146034.4,3407.0
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,9351656.6,3401.3,,9296517.1,3408.6,,9260320.1,3475.1
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,97187613.3,3244.6,,95886825.6,3426.3,,93107984.6,3426.9
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,94814278.8,3474.9,,93674274.6,3475.8,,90453023.4,3476.2
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,9350065.4,3257.7,,9296742.3,3372.5,,9260862.9,3462.0
