Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiverSAT,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,933606.3,1003.0,,924951.4,1248.2,,880653.5,2570.3
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,930847.5,829.1,,922300.6,965.8,,886686.4,1948.1
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,931878.0,700.1,,922300.6,980.0,,886778.8,2145.1
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,934980.0,643.5,,926434.4,1065.3,,885763.2,2220.0
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,935659.0,576.3,,926434.4,1048.4,,885612.9,2444.9
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,935020.9,569.8,,922669.4,1507.6,,879064.9,2647.5
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,935020.9,575.5,,922669.4,1495.8,,878867.5,2619.3
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,933291.7,732.8,,921289.3,1146.0,,885870.0,2185.7
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,933291.7,717.3,,921289.3,1169.9,,886224.5,2230.6
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,90059.2,1222.3,,90210.0,1336.8,,88317.7,2067.4
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,926078.8,738.5,,916445.4,1245.2,,879041.9,2084.2
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,903218.5,682.9,,893619.1,1027.2,,845134.5,2115.1
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,90060.1,1326.4,,90221.2,1387.0,,88337.4,2316.7
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,,903218.5,638.0,,893987.7,1175.6,,845388.5,2526.8
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,,90063.9,1222.2,,90221.2,1378.3,,88333.0,2275.2
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,,911219.0,658.8,,901682.7,1149.1,,862398.2,2448.6
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,,90064.9,1371.6,,90221.2,1384.7,,88321.2,2270.2
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,,910976.8,567.8,,901333.9,1129.1,,862718.7,2149.3
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,,917068.5,655.5,,907492.0,1283.4,,866625.9,2743.5
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,,917068.5,701.4,,907296.9,1127.3,,866503.9,2536.3
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,,915856.9,802.7,,907887.7,1556.3,,868687.8,2403.2
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,,926430.5,717.7,,916454.9,1266.5,,879099.3,2417.0
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,,915903.1,713.7,,907887.7,1568.7,,868407.3,2422.5
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,,925823.6,671.3,,915136.6,1159.9,,874073.4,2035.6
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,,926207.8,661.1,,915657.4,1211.4,,873570.1,2397.2
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,,926074.0,1049.1,,915678.8,1071.7,,878788.9,2736.6
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,,926074.0,1024.7,,915678.8,1069.8,,878915.2,2665.7
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,,926946.5,777.6,,920378.8,1189.3,,875066.3,2583.5
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,,927346.8,712.1,,920064.6,1104.7,,874378.6,2283.4
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,,351547.4,861.3,,347883.0,1324.0,,337070.2,2603.1
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,,920119.5,767.8,,912276.6,1346.3,,863386.2,3005.0
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,,919875.9,710.7,,912148.0,980.2,,863824.9,2369.1
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,,937255.4,859.5,,926599.0,1431.3,,887404.0,2763.5
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,,936745.7,847.5,,926398.2,1277.8,,886588.6,2381.3
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,,936087.3,766.9,,926736.4,1448.3,,886025.8,2358.9
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,,936165.0,904.8,,926730.3,1451.9,,885344.4,2440.9
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,,933608.2,941.8,,925163.9,1283.7,,880740.5,2651.6
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,,2796620.7,1438.8,,2875543.4,1497.2,,2457952.9,2039.2
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,,2990041.5,1519.7,,2791522.8,1969.4,,2663080.3,2234.2
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,,3181173.2,1716.8,,2980318.4,1760.6,,2835173.5,2293.4
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,,3132561.8,2118.8,,3258786.9,1960.1,,2846136.2,2292.1
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,,5581266.0,1887.7,,5092032.1,2131.2,,4780022.1,2180.9
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,,4662342.3,2175.9,,4353742.3,2316.2,,4061218.3,2723.7
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,,2716776.8,1587.0,,2862572.5,1436.7,,2501290.0,1895.4
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,,3760713.8,2294.4,,3900319.8,2412.6,,3424246.7,2517.9
hardware/cnf_cpipe_prop_18_28701_2.cnf_263.71000000.sat,,4748771.8,2502.9,,4559983.7,2587.6,,4133056.3,2734.3
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,,3916464.8,2067.5,,3781303.3,2147.9,,3575447.0,2431.1
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,,3339490.2,1851.0,,3125524.9,2081.9,,2988829.6,2280.4
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,,2163368.8,1606.4,,2259241.9,2128.5,,1752918.1,2215.9
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,,3236951.0,2218.6,,2915193.8,2602.6,,2830662.0,2652.5
hardware/cnf_cpipe_prop_5_12634_2.cnf_428.11000000.sat,,3500270.7,2028.0,,3570193.9,2088.7,,2996944.2,2109.5
hardware/cnf_cpipe_prop_6_14274_2.cnf_315.20000000.sat,,4864841.5,2482.0,,4551903.4,2442.6,,4227130.0,2531.6
hardware/cnf_cpipe_prop_7_16419_2.cnf_111.63000000.sat,,3726578.8,2340.2,,3443660.0,1948.6,,3276336.4,2409.0
hardware/cnf_cpipe_prop_8_18296_2.cnf_47.23000000.sat,,3954534.8,1870.4,,3672260.6,1857.7,,3496621.3,1963.3
hardware/cnf_cpipe_prop_9_19174_2.cnf_130.83000000.sat,,4095328.7,1359.6,,3774831.5,1390.3,,3580302.5,1410.5
hardware/cnf_mo_prop_10_14326_2.cnf_5.95000000.sat,,1598568.5,1785.3,,1577026.2,1134.4,,1238662.5,2296.2
hardware/cnf_mo_prop_11_15981_2.cnf_5.79000000.sat,,1580557.2,1749.0,,1559240.7,1036.7,,1225442.0,2250.4
