Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiverSAT,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
software/mpc50,,704275.4,1750.1,,704450.9,1809.8,,675240.3,3399.3
software/nano,,746257.7,2074.4,,746361.4,2640.0,,712502.8,3448.9
software/npwr,,737363.7,2432.8,,737475.7,2444.0,,705010.2,3348.3
software/ocelot,,740620.8,1616.2,,740681.6,2028.4,,704934.2,3429.1
software/olpce2294,,747357.0,2196.3,,747512.5,1544.4,,711937.2,3393.4
software/olpch2294,,733143.4,1698.8,,733266.4,2237.7,,702432.8,3446.5
software/olpcl2294,,746794.1,2598.9,,746949.7,2292.4,,711785.8,3455.0
software/p2106,,726010.2,1958.5,,726085.5,1925.0,,696488.7,3461.7
software/pati,,730900.4,1482.8,,730999.3,1669.6,,701071.8,3485.3
software/pc_i82544,,740250.9,1714.8,,740362.0,2325.8,,707387.9,3351.5
software/pc_i82559,,740326.1,2330.2,,740450.0,1883.3,,711162.2,3459.9
software/pc_rltk8139,,745085.0,2229.1,,745248.7,2220.1,,712130.2,3442.4
software/pc_usb_d12,,747288.1,2126.6,,747313.9,1642.0,,716120.2,3489.2
software/pc_vmWare,,737707.6,1989.4,,737921.0,2442.2,,706248.4,3407.3
software/phycore,,740886.1,1986.0,,740947.4,1438.7,,708146.6,3400.0
software/phycore229x,,772080.0,2375.1,,772140.8,2173.4,,736303.6,3473.5
software/picasso,,725173.8,2026.9,,725405.1,1925.0,,695483.3,3526.1
software/pid,,712970.9,2334.7,,713099.4,1562.9,,683817.5,3442.9
software/prpmc1100,,709838.4,1632.6,,710082.1,2371.8,,680147.8,3382.6
software/psim,,690987.7,2059.3,,690949.2,1233.4,,663845.8,3511.2
software/rattler,,782572.8,2093.8,,782727.4,2390.4,,750072.2,3343.2
software/ref4955,,710049.4,2404.7,,710070.2,2016.7,,681026.9,3459.7
software/refidt334,,750058.2,2012.5,,750204.5,1961.5,,713401.2,3409.5
software/sa1100mm,,709837.6,2544.2,,709996.2,1737.3,,680316.2,3330.2
software/sam7ex256,,760620.8,2092.6,,760745.8,2126.6,,727835.5,3402.3
software/se7751,,751861.6,2290.4,,752017.2,2233.4,,722040.8,3333.3
software/sh4_202_md,,735280.9,2528.8,,735469.2,1769.1,,704804.2,3470.3
software/sh7708,,722865.1,1889.2,,723015.7,1675.9,,688663.6,3349.6
software/skmb91302,,712205.2,2076.9,,712293.7,1790.7,,680200.9,3457.0
software/sleb,,695845.9,2009.2,,696035.7,2131.1,,670171.6,3427.6
software/smdk2410,,733746.8,2183.0,,733762.1,1969.9,,700373.1,3343.4
software/snds,,710349.6,2133.4,,710527.4,1670.6,,678823.2,3465.8
software/sparc_erc32,,683491.2,1888.9,,683557.4,1729.6,,657020.7,3464.6
software/sparc_leon,,683483.2,1900.7,,683501.8,1935.1,,656655.1,3421.7
software/sparclite_sim,,683372.1,2429.9,,683466.9,1335.8,,657739.7,3398.0
software/stb,,731884.0,2244.2,,732067.2,1853.3,,701048.6,3396.3
software/stdeval1,,695110.2,2135.5,,695221.2,2353.8,,665798.1,3421.2
software/stm3210e_eval,,743371.2,1911.8,,743546.4,1570.1,,713683.3,3392.1
software/toybox,,109357.7,717.5,,109360.2,755.1,,109324.0,1897.4
software/ts1000,,768096.1,1713.1,,768166.7,1646.2,,735574.0,3408.0
software/ts6,,733424.4,2056.5,,733544.4,1432.9,,701547.3,3468.8
software/tx39_sim,,686527.1,1908.3,,686634.3,1307.0,,658556.6,3494.7
software/uClinux,,378750.0,<1,,378750.0,<1,,378750.0,<1
software/uClinux-config,,3246232.3,1042.4,,3246604.3,886.5,,3138134.8,1418.8
software/uE250,,725838.6,2422.6,,726040.1,1885.3,,694053.5,3511.8
software/vads,,733482.9,2577.8,,733521.6,1362.0,,701309.5,3455.4
software/viper,,768908.2,2495.3,,769170.4,1690.6,,732756.1,3315.1
software/vrc4373,,727237.1,2391.9,,727241.3,1677.4,,697884.8,3461.7
software/vrc4375,,740757.6,2181.7,,740890.7,1820.5,,709932.5,3410.5
