Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,,,DiverSAT,
,,avg.dis,time,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,933650.8,1314.7,,925487.4,2069.7,,872441.7,472.2,,880653.5,2570.3
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,930951.5,1085.5,,923146.4,2024.0,,878809.5,304.8,,886686.4,1948.1
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,932008.0,961.3,,923146.4,2020.4,,878809.5,340.6,,886778.8,2145.1
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,934980.0,643.5,,926434.4,1065.3,,875525.5,298.5,,885763.2,2220.0
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,935659.0,576.3,,926434.4,1048.4,,875525.5,386.3,,885612.9,2444.9
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,935020.9,569.8,,922788.5,1641.9,,867178.2,472.7,,879064.9,2647.5
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,935020.9,575.5,,922788.5,1629.8,,867178.2,380.8,,878867.5,2619.3
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,933449.0,1043.3,,921817.2,1407.6,,870334.5,253.2,,885870.0,2185.7
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,933449.0,1046.5,,921817.2,1426.1,,870334.5,258.8,,886224.5,2230.6
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,90116.8,1608.7,,90254.1,1921.3,,87725.8,<1,,88317.7,2067.4
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,926078.8,738.5,,916454.9,1289.5,,870454.0,328.3,,879041.9,2084.2
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,903218.5,682.9,,893987.7,1164.8,,828668.1,297.6,,845134.5,2115.1
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,90060.1,1326.4,,90244.7,1889.2,,87725.8,<1,,88337.4,2316.7
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,,903218.5,638.0,,893987.7,1175.6,,828668.1,576.7,,845388.5,2526.8
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,,90064.9,1283.6,,90226.8,1680.9,,87725.8,<1,,88333.0,2275.2
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,,911219.0,658.8,,902432.3,1979.3,,855192.8,551.3,,862398.2,2448.6
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,,90105.9,1857.3,,90226.8,1681.9,,87725.8,<1,,88321.2,2270.2
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,,910976.8,567.8,,902427.6,1723.8,,855192.8,329.4,,862718.7,2149.3
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,,917137.0,906.1,,907666.3,1547.6,,857609.2,273.1,,866625.9,2743.5
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,,917068.5,701.4,,907666.3,1553.1,,857609.2,267.6,,866503.9,2536.3
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,,915856.9,802.7,,909008.1,2333.2,,861279.4,532.9,,868687.8,2403.2
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,,926430.5,717.7,,916454.9,1266.5,,870454.0,554.1,,879099.3,2417.0
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,,915903.1,713.7,,909008.1,2351.5,,861279.4,432.4,,868407.3,2422.5
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,,925823.6,671.3,,917166.4,2251.1,,863230.2,289.4,,874073.4,2035.6
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,,926207.8,661.1,,917051.7,2076.9,,863230.2,365.3,,873570.1,2397.2
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,,926074.0,1049.1,,915678.8,1071.7,,868878.2,307.0,,878788.9,2736.6
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,,926074.0,1024.7,,915678.8,1069.8,,868878.2,301.9,,878915.2,2665.7
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,,926946.5,777.6,,921095.5,1527.1,,861308.6,342.5,,875066.3,2583.5
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,,927346.8,712.1,,921142.2,1819.3,,861308.6,379.0,,874378.6,2283.4
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,,351598.6,1420.3,,348075.5,1772.0,,331287.3,25.0,,337070.2,2603.1
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,,920119.5,767.8,,912276.6,1346.3,,850076.2,460.9,,863386.2,3005.0
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,,919875.9,710.7,,912276.6,1346.6,,850076.2,320.3,,863824.9,2369.1
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,,937255.4,859.5,,927051.4,1867.2,,878299.0,587.0,,887404.0,2763.5
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,,936951.1,958.7,,927051.4,1871.2,,878299.0,378.6,,886588.6,2381.3
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,,936087.3,766.9,,927172.5,1643.5,,876820.6,265.8,,886025.8,2358.9
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,,936165.0,904.8,,927172.5,1642.6,,876820.6,455.1,,885344.4,2440.9
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,,933652.6,1245.1,,925472.0,2080.6,,872441.7,402.4,,880740.5,2651.6
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,,2882680.7,2981.1,,2877414.4,2305.7,,2428361.4,679.0,,2457952.9,2039.2
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,,3082305.9,3456.7,,3085648.3,3021.6,,2620159.2,764.3,,2663080.3,2234.2
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,,3269538.5,3575.7,,3257942.8,3178.5,,2804591.1,827.1,,2835173.5,2293.4
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,,3263944.2,3173.6,,3260195.4,2228.4,,2791821.1,832.1,,2846136.2,2292.1
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,,5588135.6,2500.0,,5224016.2,3324.4,,4760281.9,1754.3,,4780022.1,2180.9
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,,4726281.0,3260.8,,4360751.0,2604.3,,3981348.2,1378.7,,4061218.3,2723.7
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,,2874360.5,3404.4,,2864164.8,1687.6,,2477836.9,452.6,,2501290.0,1895.4
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,,3913288.2,3573.8,,3917129.0,3156.0,,3393320.8,884.8,,3424246.7,2517.9
hardware/cnf_cpipe_prop_18_28701_2.cnf_263.71000000.sat,,4883800.6,2341.9,,4593962.4,3235.6,,4003141.5,1297.7,,4133056.3,2734.3
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,,4116719.2,2148.4,,4142550.4,3387.4,,3563998.7,1342.5,,3575447.0,2431.1
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,,3450847.2,3485.8,,3456772.5,2975.9,,2936480.9,745.6,,2988829.6,2280.4
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,,2179570.3,2617.9,,2271657.0,3174.5,,1745157.6,1474.9,,1752918.1,2215.9
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,,3251807.1,3303.6,,3349384.1,3248.0,,2792163.1,1163.5,,2830662.0,2652.5
hardware/cnf_cpipe_prop_5_12634_2.cnf_428.11000000.sat,,3532771.2,3164.6,,3650187.8,3544.2,,2989893.2,1754.6,,2996944.2,2109.5
hardware/cnf_cpipe_prop_6_14274_2.cnf_315.20000000.sat,,4940624.1,3398.5,,4615415.1,3433.8,,4203733.5,1650.0,,4227130.0,2531.6
hardware/cnf_cpipe_prop_7_16419_2.cnf_111.63000000.sat,,3823590.0,3574.1,,3823635.1,3090.5,,3228092.5,980.9,,3276336.4,2409.0
hardware/cnf_cpipe_prop_8_18296_2.cnf_47.23000000.sat,,3998653.1,3255.9,,3714191.2,3083.7,,3442575.1,1121.9,,3496621.3,1963.3
hardware/cnf_cpipe_prop_9_19174_2.cnf_130.83000000.sat,,4197467.9,3227.9,,3905691.4,3336.8,,3502812.5,616.6,,3580302.5,1410.5
hardware/cnf_mo_prop_10_14326_2.cnf_5.95000000.sat,,1599405.7,2747.7,,1577026.2,1134.4,,1188969.7,598.4,,1238662.5,2296.2
hardware/cnf_mo_prop_11_15981_2.cnf_5.79000000.sat,,1582315.4,2472.2,,1560304.7,1778.5,,1184763.1,453.3,,1225442.0,2250.4
hardware/cnf_mo_prop_1_790_2.cnf_0.00000000.sat,,76966.0,1559.6,,76969.9,1323.1,,76445.4,<1,,43337.0,458.9
hardware/cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,,76974.4,1843.0,,76969.9,1323.1,,76445.4,<1,,43337.0,408.3
hardware/cnf_mo_prop_3_3311_2.cnf_9.30000000.sat,,1605910.3,3096.2,,1580809.3,1683.2,,1189807.5,595.3,,1238632.9,2195.4
hardware/cnf_mo_prop_4_5236_2.cnf_43.96000000.sat,,2041406.7,3547.4,,2018234.1,2723.5,,1536629.9,1035.9,,1584295.2,2489.4
hardware/cnf_mo_prop_5_6974_2.cnf_6.11000000.sat,,1583639.6,2307.7,,1560830.7,1913.2,,1176558.8,386.4,,1225346.6,2374.6
hardware/cnf_mo_prop_6_8441_2.cnf_39.93000000.sat,,1933720.4,3079.2,,1907637.4,2454.9,,1488460.2,804.9,,1525239.3,2011.6
hardware/cnf_mo_prop_7_9141_2.cnf_7.56000000.sat,,1622532.4,2494.1,,1598147.1,1231.2,,1196854.3,739.0,,1252338.1,2334.9
hardware/cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,,77001.9,1973.0,,76946.0,1375.5,,76540.2,<1,,43391.2,380.0
hardware/cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,,77003.6,1995.0,,76946.0,1371.6,,76540.2,<1,,43392.3,386.3
software/XSEngine,,29471.0,1760.8,,29507.0,2232.6,,26948.6,<1,,27763.5,2772.0
software/aaed2000,,29853.4,1599.2,,29887.6,1614.6,,26806.9,<1,,27929.8,2840.9
software/adder,,29869.4,1592.7,,29898.0,1070.0,,26865.4,<1,,27962.7,2605.8
software/adderII,,29969.4,1370.8,,29988.1,1686.6,,27535.4,<1,,28367.2,2859.7
software/aeb,,28013.0,1660.5,,28040.0,1188.2,,24974.5,<1,,26284.0,2697.0
software/aim711,,29478.0,1729.5,,29505.3,2198.5,,26445.3,<1,,27584.4,2974.4
software/aki3068net,,28175.6,2058.8,,28213.2,2069.1,,25799.7,<1,,26645.8,2494.8
software/am31_sim,,27121.9,1775.7,,27148.2,1509.7,,24679.6,<1,,25584.2,2504.8
software/asb,,28602.6,2282.1,,28647.4,1460.3,,26281.8,<1,,27128.2,3027.1
software/asb2305,,28643.3,1763.8,,28692.1,1825.5,,26226.4,<1,,27019.0,2618.2
software/assabet,,28996.3,2163.4,,29023.6,1912.5,,26487.8,<1,,27376.5,2781.6
software/at91sam7sek,,29494.8,1508.1,,29537.0,1708.0,,26712.5,<1,,27565.8,2534.1
software/at91sam7xek,,30264.0,2084.4,,30307.7,2054.4,,27559.4,<1,,28452.3,2543.2
software/atlas_mips32_4kc,,28396.8,1854.6,,28424.0,2526.1,,26149.8,<1,,26921.2,2820.7
software/atlas_mips64_5kc,,28214.8,1778.7,,28247.7,1599.3,,25821.1,<1,,26591.2,2518.0
software/axtls,,2030.1,1205.0,,2031.7,1036.0,,1918.5,<1,,2021.4,1609.8
software/brutus,,28211.6,1977.3,,28242.2,1457.6,,25367.0,<1,,26470.2,2455.8
software/buildroot,,13908.9,1554.0,,13880.8,959.2,,13751.5,<1,,13820.3,447.5
software/busybox_1_28_0,,24213.8,1944.6,,24306.2,33.3,,23847.1,<1,,23907.7,395.6
software/calm16_ceb,,27252.8,1924.2,,27277.4,1747.7,,24542.5,<1,,25607.1,2748.3
software/calm32_ceb,,27251.7,2129.9,,27282.0,2250.8,,24734.8,<1,,25662.2,2735.6
software/ceb_v850,,27737.6,1304.4,,27764.2,1596.2,,25682.2,<1,,26291.8,2691.6
software/cerf,,29558.0,1957.7,,29600.9,2335.7,,26570.9,<1,,27570.8,2657.6
software/cerfpda,,29926.8,2061.6,,29968.5,1418.8,,27312.6,<1,,28119.4,2693.8
software/cma230,,28067.3,2040.2,,28092.7,1933.3,,25409.5,<1,,26441.5,2608.7
software/cma28x,,28055.1,1617.1,,28090.5,1790.7,,25422.8,<1,,26453.8,2820.1
software/cme555,,29559.6,2056.2,,29596.5,2039.7,,26771.3,<1,,27733.1,2765.5
