Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,,,DiverSAT,
,,avg.dis,time,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,24506512.5,3540.5,,24259372.2,3475.8,,23052149.4,711.5,,23366042.4,3468.7
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,24418687.4,3016.3,,24164242.3,3503.2,,23047070.1,517.4,,23331806.4,3302.7
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,24438586.2,3152.6,,24164413.3,3496.0,,23047070.1,638.1,,23330791.3,3340.6
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,24529717.2,3110.4,,24265837.0,3420.5,,23009922.9,494.0,,23327177.7,3229.7
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,24538430.8,2718.2,,24266536.6,3434.5,,23009922.9,647.2,,23320823.9,3289.9
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,24519734.9,3108.8,,24216414.0,3489.6,,22994847.2,733.2,,23289013.4,3508.9
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,24518666.4,3017.2,,24215620.4,3484.9,,22994847.2,649.5,,23288285.1,3431.6
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,24475829.4,2957.1,,24187157.0,3498.9,,23037842.5,472.9,,23316094.9,3314.2
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,24475884.3,2837.5,,24185846.5,3501.5,,23037842.5,482.5,,23321846.4,3422.9
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,2332105.6,3241.3,,2320614.0,3328.2,,2287413.2,2.7,,2305000.8,3121.8
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,24265532.8,3050.8,,23997387.5,3322.7,,22731952.2,601.7,,23053436.9,3451.6
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,23668184.8,3283.3,,23433827.8,3364.0,,21975727.0,540.0,,22411940.1,3380.4
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,2331881.6,3117.1,,2320704.1,3318.3,,2287413.2,2.9,,2305148.6,3160.3
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,,23671398.0,3203.8,,23433593.1,3353.8,,21975727.0,702.1,,22406825.6,3437.6
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,,2332080.1,3198.2,,2320616.4,3323.4,,2287413.2,2.9,,2305020.4,3214.8
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,,23865396.9,3031.6,,23626951.5,3438.0,,22419623.9,763.8,,22722813.1,3514.6
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,,2332440.2,3443.2,,2320616.4,3315.8,,2287413.2,2.8,,2304866.2,3185.1
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,,23864095.6,3004.7,,23626848.6,3431.6,,22419623.9,532.1,,22725324.2,3285.0
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,,24062279.7,2697.4,,23769002.9,3388.3,,22584622.5,465.5,,22876052.1,3279.9
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,,24062898.5,2965.6,,23768693.3,3403.2,,22584622.5,491.1,,22874460.5,3324.0
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,,24016249.0,3042.8,,23780905.3,3410.9,,22668855.0,719.2,,22915862.1,3332.4
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,,24272106.0,3031.7,,23998281.9,3403.5,,22731952.2,730.0,,23059804.7,3458.1
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,,24004905.0,3111.1,,23781373.8,3404.9,,22668855.0,661.6,,22909820.9,3395.7
