Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,97789689.2,991.4,,96336517.6,992.4,,93488988.1,993.0
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,97460350.3,780.9,,95858910.3,781.6,,93214937.5,782.1
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,97616743.0,860.0,,95922774.3,860.3,,93214937.5,861.0
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,97669291.0,710.7,,96152590.7,711.0,,93489060.7,711.4
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,98057323.5,1057.5,,96425936.2,1058.4,,93489060.7,1058.9
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,97842482.6,1031.8,,96193600.5,1031.6,,93272481.0,1032.4
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,97868891.4,1021.9,,96196446.4,1022.4,,93272481.0,1023.1
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,97539230.9,750.5,,95808426.0,750.9,,93311859.3,751.7
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,97558649.0,725.1,,95767786.4,725.6,,93311859.3,726.4
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,9160697.3,4.7,,9011986.4,4.9,,9188544.8,5.3
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,96705452.0,770.4,,95153186.0,771.0,,92231989.9,771.6
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,94205317.5,752.1,,92846768.3,752.5,,89183546.4,753.3
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,9164872.4,4.5,,9011380.2,4.9,,9188544.8,5.1
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,,94570266.9,1080.4,,93094227.4,1080.6,,89183546.4,1081.1
