Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,,24407496.5,710.8,,24081312.8,710.8,,23052149.4,711.5
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,,24320327.8,516.7,,23879785.0,516.9,,23047070.1,517.4
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,,24388911.4,637.7,,23938490.6,637.7,,23047070.1,638.1
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,,24374429.2,492.0,,24015855.8,493.4,,23009922.9,494.0
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,,24451778.1,645.5,,24063252.8,646.6,,23009922.9,647.2
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,,24433166.4,730.6,,24040298.1,732.8,,22994847.2,733.2
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,,24420741.9,648.1,,24018569.9,648.8,,22994847.2,649.5
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,,24348089.7,472.0,,23918905.1,472.5,,23037842.5,472.9
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,,24365752.6,481.8,,23918593.8,481.9,,23037842.5,482.5
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,,2279757.3,1.9,,2251752.0,2.4,,2287413.2,2.7
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,,24162032.0,600.3,,23810749.7,601.1,,22731952.2,601.7
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,,23451746.5,538.8,,23197658.0,539.5,,21975727.0,540.0
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,,2280606.8,2.2,,2251632.4,2.6,,2287413.2,2.9
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,,23585336.4,700.5,,23250180.9,701.3,,21975727.0,702.1
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,,2284077.4,2.6,,2251662.3,2.6,,2287413.2,2.9
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,,23797689.4,754.1,,23463391.9,763.3,,22419623.9,763.8
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,,2280917.9,1.7,,2251707.2,2.5,,2287413.2,2.8
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,,23739379.6,531.1,,23389601.3,531.6,,22419623.9,532.1
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,,23924210.7,464.2,,23516559.5,465.0,,22584622.5,465.5
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,,23930793.6,490.3,,23523847.5,490.4,,22584622.5,491.1
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,,23915275.2,718.2,,23594832.0,718.6,,22668855.0,719.2
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,,24203099.0,729.0,,23834660.4,729.6,,22731952.2,730.0
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,,23837251.9,660.6,,23580683.6,661.1,,22668855.0,661.6
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,,24059568.3,414.5,,23739324.1,461.4,,22736464.4,461.9
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,,24237274.9,675.1,,23831410.6,675.0,,22736464.4,675.9
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,,24111063.6,441.1,,23771084.6,490.3,,22882015.7,491.2
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,,24177033.9,526.7,,23783411.0,527.3,,22882015.7,527.9
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,,24230791.9,649.6,,23933936.8,650.1,,22712035.0,650.4
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,,24128320.1,526.7,,23926893.8,603.0,,22712035.0,603.5
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,,9156352.9,98.4,,8991687.1,98.4,,8834693.8,98.8
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,,24062673.2,712.3,,23736477.1,712.4,,22518245.9,713.0
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,,24032355.9,535.5,,23690310.3,536.0,,22518245.9,536.5
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,,24489236.1,861.3,,24153920.9,862.4,,23019421.8,863.0
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,,24408947.8,536.3,,24047917.7,536.5,,23019421.8,537.0
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,,24395191.4,466.1,,24028436.9,466.6,,23123015.3,467.2
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,,24471496.6,688.3,,24094784.2,689.1,,23123015.3,689.4
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,,24398344.2,654.1,,24050797.1,654.2,,23052149.4,654.7
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,,70622285.2,1000.4,,72979582.6,1000.5,,61321492.0,1003.1
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,,75320763.7,892.3,,71007819.0,889.2,,66054417.1,895.6
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,,79203268.8,902.4,,75535078.3,910.1,,71229623.1,916.7
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,,76008445.7,1151.2,,66357448.0,1155.8,,71940210.1,1160.9
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,,143896654.3,1842.3,,127486478.6,2216.5,,124736206.4,2231.1
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,,119553991.0,2601.2,,111393507.5,2624.6,,103016190.3,2628.8
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,,65755481.2,1306.9,,74744033.2,1312.2,,65089712.4,1313.6
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,,93958228.5,1258.9,,63061137.7,1255.6,,87203418.8,1267.5
hardware/cnf_cpipe_prop_18_28701_2.cnf_263.71000000.sat,,122005136.7,2691.2,,117363577.9,2687.2,,107218406.3,2694.8
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,,98867132.7,2565.7,,97149638.4,2561.4,,90031937.8,2572.3
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,,81669409.5,986.8,,79091030.8,987.2,,76085031.4,991.4
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,,54187822.2,2323.7,,52411612.5,2329.7,,42604872.5,2334.5
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,,80188077.8,2173.7,,70705639.1,2162.0,,72895174.8,2182.2
hardware/cnf_cpipe_prop_5_12634_2.cnf_428.11000000.sat,,89459002.0,2432.0,,63415700.9,2431.7,,76284903.6,2446.7
hardware/cnf_cpipe_prop_6_14274_2.cnf_315.20000000.sat,,125464317.5,553.6,,79517804.0,1660.2,,108765185.0,1680.7
hardware/cnf_cpipe_prop_7_16419_2.cnf_111.63000000.sat,,94156677.3,1262.1,,86180763.0,1264.6,,80798378.3,1270.8
hardware/cnf_cpipe_prop_8_18296_2.cnf_47.23000000.sat,,100639545.8,600.3,,90633794.7,1202.8,,87338293.7,1208.9
hardware/cnf_cpipe_prop_9_19174_2.cnf_130.83000000.sat,,105504768.5,751.7,,94492143.4,1497.1,,94284199.2,1511.4
hardware/cnf_mo_prop_10_14326_2.cnf_5.95000000.sat,,41307578.7,1146.7,,40929284.7,1149.2,,31496360.4,1149.9
hardware/cnf_mo_prop_11_15981_2.cnf_5.79000000.sat,,40849200.1,1003.4,,40495774.9,1005.3,,31414750.9,1005.9
hardware/cnf_mo_prop_1_790_2.cnf_0.00000000.sat,,1945863.4,1.1,,1939626.1,1.3,,1953476.2,1.3
hardware/cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,,1946115.0,1.3,,1940268.2,1.4,,1953476.2,1.5
hardware/cnf_mo_prop_3_3311_2.cnf_9.30000000.sat,,41443779.9,1107.6,,41070850.7,1108.5,,31406882.8,1109.3
hardware/cnf_mo_prop_4_5236_2.cnf_43.96000000.sat,,51945705.8,1537.5,,51445035.1,1538.6,,39213198.9,1541.1
hardware/cnf_mo_prop_5_6974_2.cnf_6.11000000.sat,,40792827.2,752.8,,40481616.7,753.5,,31129971.7,754.5
hardware/cnf_mo_prop_6_8441_2.cnf_39.93000000.sat,,49840262.8,1571.3,,49378622.8,1571.7,,38435937.6,1573.4
hardware/cnf_mo_prop_7_9141_2.cnf_7.56000000.sat,,41965823.1,1225.2,,41559968.5,1224.8,,31870981.4,1226.2
hardware/cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,,1946508.1,1.3,,1941141.4,1.3,,1953128.3,1.4
hardware/cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,,1946187.0,1.3,,1941141.4,1.3,,1953128.3,1.4
software/XSEngine,,711909.4,<1,,717892.0,<1,,675549.7,<1
software/aaed2000,,715285.2,<1,,724972.0,<1,,684192.8,<1
software/adder,,712848.2,<1,,719955.2,<1,,686286.8,<1
software/adderII,,723016.7,<1,,724637.6,<1,,694284.1,<1
software/aeb,,679959.8,<1,,681290.8,<1,,634734.2,<1
software/aim711,,713251.6,<1,,713796.2,<1,,676325.0,<1
software/aki3068net,,679038.4,<1,,685891.4,<1,,651365.5,<1
software/am31_sim,,655459.1,<1,,657294.4,<1,,629363.9,<1
software/asb,,688611.9,<1,,699033.2,<1,,658868.4,<1
software/asb2305,,693128.4,<1,,691011.2,<1,,668092.7,<1
software/assabet,,691670.3,<1,,703591.4,<1,,658903.2,<1
software/at91sam7sek,,706760.1,<1,,715495.8,<1,,672347.2,<1
software/at91sam7xek,,729048.2,<1,,731253.2,<1,,687842.0,<1
software/atlas_mips32_4kc,,686105.4,<1,,686641.4,<1,,653270.5,<1
software/atlas_mips64_5kc,,677999.6,<1,,683209.2,<1,,646614.8,<1
software/axtls,,50756.0,<1,,50867.1,<1,,49440.8,<1
software/brutus,,682781.1,<1,,681244.0,<1,,645824.7,<1
software/buildroot,,342362.9,<1,,344749.5,<1,,345482.5,<1
software/busybox_1_28_0,,602762.1,<1,,608481.8,<1,,607254.9,<1
software/calm16_ceb,,659276.2,<1,,660024.7,<1,,631948.1,<1
software/calm32_ceb,,661658.4,<1,,664848.0,<1,,623817.6,<1
software/ceb_v850,,664932.7,<1,,669800.6,<1,,642294.8,<1
software/cerf,,710545.6,<1,,717338.6,<1,,670581.3,<1
software/cerfpda,,721048.7,<1,,720782.0,<1,,685641.8,<1
software/cma230,,675526.7,<1,,683492.3,<1,,640973.5,<1
software/cma28x,,679442.2,<1,,682023.4,<1,,644250.8,<1
software/cme555,,708297.3,<1,,717900.9,<1,,680760.7,<1
software/cq7708,,685601.8,<1,,694080.7,<1,,661477.5,<1
software/cq7750,,697835.3,<1,,704209.5,<1,,666170.4,<1
software/csb281,,698109.4,<1,,706181.4,<1,,669800.0,<1
software/dreamcast,,697160.7,<1,,702196.6,<1,,670783.8,<1
software/e7t,,707265.7,<1,,716007.3,<1,,670269.2,<1
software/ea2468,,739079.6,<1,,742881.6,<1,,705136.3,<1
software/eb40,,688423.3,<1,,695534.7,<1,,648449.5,<1
software/eb40a,,691789.4,<1,,693199.8,<1,,654495.4,<1
software/eb42,,688533.7,<1,,692693.4,<1,,646973.9,<1
software/eb55,,705619.7,<1,,710038.3,<1,,667623.5,<1
software/ebsa285,,703745.2,<1,,709883.8,<1,,662195.3,<1
software/ec555,,714129.2,<1,,721692.5,<1,,679031.5,<1
software/ecos-icse11,,699281.3,<1,,704087.3,<1,,676004.4,<1
software/edb7xxx,,697321.7,<1,,702809.0,<1,,660920.2,<1
software/edosk2674,,673247.1,<1,,678953.8,<1,,649001.7,<1
software/embtoolkit,,1024610.8,<1,,1032214.3,<1,,1013999.4,<1
software/excalibur_arm9,,682374.3,<1,,687312.2,<1,,649556.0,<1
software/fads,,666003.2,<1,,671666.2,<1,,638198.4,<1
software/financial,,99132.4,<1,,99496.7,<1,,82925.6,<1
software/flexanet,,706100.6,<1,,718901.9,<1,,671269.0,<1
software/freebsd-icse11,,809597.9,<1,,810556.9,<1,,791022.0,<1
software/frv400,,699234.9,<1,,706499.2,<1,,673214.0,<1
software/gps4020,,679028.0,<1,,678996.4,<1,,638730.3,<1
software/grg,,697684.9,<1,,704108.8,<1,,661215.5,<1
software/h8300h_sim,,662453.4,<1,,670598.4,<1,,632658.5,<1
software/h8max,,677452.9,<1,,678450.0,<1,,646033.8,<1
software/h8s_sim,,659514.7,<1,,668448.3,<1,,633713.3,<1
