Instance,,SATDiv-CaDiCaL,,,SATDiv-Maple,,,DiversekSet,
,,avg.dis,time,,avg.dis,time,,avg.dis,time
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,,3900228.2,1181.5,,3738109.8,1316.6,,3563998.7,1342.5
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,,3296586.0,708.9,,3050677.1,714.2,,2936480.9,745.6
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,,2161854.0,1217.3,,2208034.7,1428.3,,1745157.6,1474.9
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,,3194069.5,1103.1,,2793008.2,1111.5,,2792163.1,1163.5
hardware/cnf_cpipe_prop_5_12634_2.cnf_428.11000000.sat,,3493380.0,1586.1,,2956799.5,1720.8,,2989893.2,1754.6
hardware/cnf_cpipe_prop_6_14274_2.cnf_315.20000000.sat,,4812494.5,1627.6,,4368417.1,1615.1,,4203733.5,1650.0
hardware/cnf_cpipe_prop_7_16419_2.cnf_111.63000000.sat,,3709310.2,781.8,,3402170.7,932.3,,3228092.5,980.9
hardware/cnf_cpipe_prop_8_18296_2.cnf_47.23000000.sat,,3907713.7,1044.5,,3524874.3,1109.8,,3442575.1,1121.9
hardware/cnf_cpipe_prop_9_19174_2.cnf_130.83000000.sat,,3968442.7,304.8,,2515862.5,592.9,,3502812.5,616.6
hardware/cnf_mo_prop_10_14326_2.cnf_5.95000000.sat,,1584746.7,588.2,,1571355.7,521.9,,1188969.7,598.4
hardware/cnf_mo_prop_11_15981_2.cnf_5.79000000.sat,,1564482.3,451.1,,1550107.4,433.3,,1184763.1,453.3
hardware/cnf_mo_prop_1_790_2.cnf_0.00000000.sat,,75902.8,<1,,75795.7,<1,,76445.4,<1
hardware/cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,,75935.0,<1,,75795.7,<1,,76445.4,<1
hardware/cnf_mo_prop_3_3311_2.cnf_9.30000000.sat,,1589702.6,571.8,,1575369.7,519.8,,1189807.5,595.3
hardware/cnf_mo_prop_4_5236_2.cnf_43.96000000.sat,,1982030.5,1000.4,,1971663.3,983.0,,1536629.9,1035.9
hardware/cnf_mo_prop_5_6974_2.cnf_6.11000000.sat,,1557155.6,370.3,,1547061.3,377.5,,1176558.8,386.4
hardware/cnf_mo_prop_6_8441_2.cnf_39.93000000.sat,,1902756.0,788.7,,1887338.0,784.1,,1488460.2,804.9
hardware/cnf_mo_prop_7_9141_2.cnf_7.56000000.sat,,1609201.0,734.8,,1595895.1,619.9,,1196854.3,739.0
hardware/cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,,75818.3,<1,,75841.9,<1,,76540.2,<1
hardware/cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,,75838.8,<1,,75841.9,<1,,76540.2,<1
software/XSEngine,,27479.0,<1,,28638.0,<1,,26948.6,<1
software/aaed2000,,27747.4,<1,,29331.5,<1,,26806.9,<1
software/adder,,28056.1,<1,,29062.2,<1,,26865.4,<1
software/adderII,,28345.2,<1,,29280.2,<1,,27535.4,<1
software/aeb,,25983.9,<1,,27348.8,<1,,24974.5,<1
software/aim711,,27572.3,<1,,28879.5,<1,,26445.3,<1
software/aki3068net,,26203.7,<1,,27522.6,<1,,25799.7,<1
software/am31_sim,,25535.4,<1,,26472.9,<1,,24679.6,<1
software/asb,,26894.9,<1,,27931.9,<1,,26281.8,<1
software/asb2305,,27188.1,<1,,27918.0,<1,,26226.4,<1
software/assabet,,27494.4,<1,,28414.9,<1,,26487.8,<1
software/at91sam7sek,,27517.1,<1,,28632.2,<1,,26712.5,<1
