Instance,SATDiv-Maple-alt,SATDiv-CaDiCaL-alt
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,93140795.8,95722285.7
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,92604741.2,95130169.0
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,92604741.2,95130169.0
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,92912248.2,95669884.9
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,92912248.2,95669884.9
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,92710757.2,95542145.3
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,92710757.2,95542145.3
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,92651699.7,95396869.4
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,92651699.7,95396869.4
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,8942383.2,9112584.0
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,91981705.9,94614089.0
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,89821627.5,92277662.8
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,8942383.2,9112584.0
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,89821627.5,92277662.8
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,8942383.2,9112584.0
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,90155182.1,92932299.0
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,8942383.2,9112584.0
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,90155182.1,92932299.0
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,90968700.6,93834301.1
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,90968700.6,93834301.1
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,91134445.8,93677038.5
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,91981705.9,94614089.0
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,91134445.8,93677038.5
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,92142908.0,94975507.3
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,92142908.0,94975507.3
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,91845605.4,94641921.1
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,91845605.4,94641921.1
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,92237120.6,94603326.1
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,92237120.6,94603326.1
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,35204190.4,35782858.7
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,91488301.6,94016313.2
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,91488301.6,94016313.2
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,93219294.3,95670277.8
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,93219294.3,95670277.8
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,92799184.4,95628901.1
