Instance,SATDiv-Maple-alt,SATDiv-CaDiCaL-alt
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,878653.4,900060.7
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,872623.6,893608.3
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,872623.6,893608.3
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,874755.7,893022.8
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,874755.7,893022.8
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,872299.9,887179.0
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,872299.9,887179.0
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,872214.5,891309.1
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,872214.5,891309.1
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,85342.9,85932.4
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,863910.0,885946.1
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,850971.0,859914.0
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,85342.9,85932.4
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,850971.0,859914.0
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,85342.9,85932.4
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,844808.4,871498.9
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,85342.9,85932.4
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,844808.4,871498.9
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,854183.5,871920.4
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,854183.5,871920.4
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,848225.6,869403.2
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,863910.0,885946.1
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,848225.6,869403.2
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,857731.0,884335.5
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,857731.0,884335.5
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,856768.1,878836.0
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,856768.1,878836.0
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,865966.5,886984.2
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,865966.5,886984.2
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,331840.9,336328.9
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,857912.6,886297.3
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,857912.6,886297.3
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,872588.7,896576.2
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,872588.7,896576.2
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,878629.2,889830.4
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,878629.2,889830.4
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,878653.4,900060.7
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,2814215.7,2724070.6
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,2991649.5,2858988.6
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,3189046.2,2983719.2
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,3161569.0,2813687.6
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,5584606.3,5390093.9
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,4707398.4,4512338.3
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,2745067.3,2480720.6
