Instance,SATDiv-Maple-alt,SATDiv-CaDiCaL-alt
hardware/cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,1927680.2,1940071.2
software/XSEngine,696457.0,696182.0
software/aaed2000,701939.4,698263.3
software/adder,698828.8,701200.0
software/adderII,702028.0,708890.0
software/aeb,663024.1,652213.3
software/aim711,693465.2,694922.0
software/aki3068net,668271.0,665374.7
software/am31_sim,635220.8,638224.0
software/asb,677187.0,666505.0
software/asb2305,670305.5,670211.0
software/assabet,684754.7,676390.3
software/at91sam7sek,696178.4,695658.3
software/at91sam7xek,709674.4,692981.3
software/atlas_mips32_4kc,665059.4,657351.0
software/atlas_mips64_5kc,658677.7,660021.0
software/axtls,49253.4,49730.0
software/brutus,661671.8,655519.7
software/buildroot,343651.6,341863.7
software/busybox_1_28_0,605112.9,600641.3
software/calm16_ceb,637316.2,642758.0
software/calm32_ceb,649536.4,640999.3
software/ceb_v850,649541.9,648279.7
software/cerf,696444.5,697510.7
software/cerfpda,699488.8,699193.0
software/cma230,663667.3,659893.3
software/cma28x,663625.2,654981.7
software/cme555,693401.4,700086.0
software/cq7708,674347.4,672770.0
software/cq7750,683013.3,672682.7
software/csb281,686356.6,672872.3
software/dreamcast,680019.3,672731.7
software/e7t,693101.0,684618.7
software/ea2468,724531.4,720895.3
software/eb40,673215.4,676408.0
software/eb40a,675318.9,675054.3
software/eb42,673120.6,667155.3
software/eb55,690204.9,683582.0
software/ebsa285,686245.5,684523.0
software/ec555,698023.3,690087.0
software/ecos-icse11,686014.6,688462.0
software/edb7xxx,681536.4,672048.3
software/edosk2674,657121.9,653065.7
software/embtoolkit,1018313.2,1019640.0
software/excalibur_arm9,665532.2,667860.3
software/fads,653830.9,648721.0
software/financial,94963.9,96275.7
software/flexanet,698285.6,686097.3
software/freebsd-icse11,793649.4,804049.7
software/frv400,682415.8,685146.3
software/gps4020,656081.6,659459.3
software/grg,684084.2,676741.7
software/h8300h_sim,652664.6,641044.3
software/h8max,654738.4,654626.3
software/h8s_sim,649915.6,647447.0
software/hs7729pci,703676.2,706444.7
software/innovator,685790.5,689326.7
software/integrator_arm7,694734.8,692952.3
software/integrator_arm9,693337.9,690122.3
software/ipaq,683795.1,675633.3
software/iq80310,693011.2,688859.7
software/iq80321,692090.5,688207.3
software/ixdp425,677782.4,688010.7
software/jmr3904,651396.9,657388.0
software/jtst,672983.4,667787.7
software/linux,661755.8,664642.3
software/lpcmt,678009.9,669384.0
software/m5272c3,722949.8,724640.7
software/mac7100evb,673933.7,663022.0
software/mace1,675449.6,677032.0
software/malta_mips32_4kc,679286.5,666803.3
software/malta_mips64_5kc,677293.6,671321.7
software/mb93091,685739.8,682885.0
software/mb93093,679091.2,672932.7
software/mbx,715170.3,711284.3
software/mcb2100,683590.1,681606.3
software/moab,704037.7,694243.3
software/mpc50,666642.0,657008.0
software/nano,700169.5,686538.7
software/npwr,693228.7,691179.7
software/ocelot,693739.5,699328.0
software/olpce2294,697187.7,699169.0
software/olpch2294,685805.8,676054.7
software/olpcl2294,691312.1,683241.3
software/p2106,687102.6,687859.7
software/pati,692663.0,685673.3
software/pc_i82544,693993.4,693553.7
software/pc_i82559,692132.0,691320.0
software/pc_rltk8139,696453.0,680078.7
software/pc_usb_d12,704365.6,695030.3
software/pc_vmWare,694472.8,689235.0
software/phycore,695725.9,694146.0
software/phycore229x,718725.0,701524.3
software/picasso,680440.7,676087.0
software/pid,667830.6,672304.3
software/prpmc1100,670995.0,665719.0
software/psim,650773.6,656756.0
software/rattler,729535.8,731447.3
software/ref4955,676045.4,666079.0
software/refidt334,703218.7,698658.0
software/sa1100mm,669347.5,661742.3
software/sam7ex256,711723.1,710385.0
software/se7751,706626.3,693860.7
software/sh4_202_md,687810.1,679654.0
software/sh7708,684380.7,672794.7
software/skmb91302,664542.3,665138.7
software/sleb,657216.0,652822.3
software/smdk2410,689547.0,680873.3
software/snds,661683.9,659626.0
software/sparc_erc32,648641.1,643103.3
software/sparc_leon,645615.5,641640.7
software/sparclite_sim,644086.7,633868.3
software/stb,684223.3,688076.3
software/stdeval1,654772.0,653774.0
software/stm3210e_eval,701273.7,694582.0
software/toybox,108856.8,108769.3
software/ts1000,716604.8,714195.0
software/ts6,678700.7,681889.0
software/tx39_sim,649791.2,648477.7
software/uClinux,378750.0,378750.0
software/uClinux-config,3138403.8,3184709.0
software/uE250,682892.6,677205.7
software/vads,687107.1,675519.0
software/viper,723897.9,705263.3
software/vrc4373,683680.1,683035.0
software/vrc4375,694011.8,696806.0
