Instance,cmsgen,cmsgen+SATDiv optimization
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,21761139.8,24537311.2
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,21880265.2,24431470.0
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,21880265.2,24431470.0
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,21966083.0,24546179.4
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,21966083.0,24545832.2
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,21911457.7,24522709.9
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,21911457.7,24522709.9
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,21909720.7,24473253.1
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,21909720.7,24473253.1
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,2137337.2,2337657.9
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,21688237.7,24266724.3
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,21112921.2,23698474.9
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,2137337.2,2337532.3
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,21112921.2,23698474.9
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,2137337.2,2337675.7
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,21214215.2,23850383.6
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,2137337.2,2337675.7
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,21214215.2,23850093.0
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,21463240.7,24054719.0
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,21463240.7,24054754.2
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,21346607.5,24016515.2
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,21688237.7,24266724.4
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,21346607.5,24016486.0
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,21697670.3,24310453.9
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,21697670.3,24310455.8
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,21675620.2,24280181.1
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,21675620.2,24280181.1
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,21675858.2,24317735.4
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,21675858.2,24317735.4
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,8397196.3,9230633.0
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,21547833.2,24152066.0
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,21547833.2,24152066.0
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,21867078.3,24551338.3
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,21867078.3,24551338.3
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,21886003.2,24560197.8
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,21886003.2,24560197.8
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,21761139.8,24537311.2
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,70652433.3,72177226.9
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,74358721.7,76538984.1
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,79550961.7,82058057.3
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,80702466.3,81827149.9
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,136663011.2,145623372.8
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,114994948.7,120881250.3
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,68978272.3,69936606.9
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,94586677.5,96183746.7
hardware/cnf_cpipe_prop_18_28701_2.cnf_263.71000000.sat,119441262.3,124596884.1
hardware/cnf_cpipe_prop_1_1311_2.cnf_604.73000000.sat,103089065.2,104159754.1
hardware/cnf_cpipe_prop_2_5187_2.cnf_67.86000000.sat,84377201.5,85122391.7
hardware/cnf_cpipe_prop_3_6087_2.cnf_512.33000000.sat,55872518.2,56678611.3
hardware/cnf_cpipe_prop_4_8995_2.cnf_377.48000000.sat,82117797.0,83514202.2
hardware/cnf_cpipe_prop_5_12634_2.cnf_428.11000000.sat,88786494.2,91180980.2
hardware/cnf_cpipe_prop_6_14274_2.cnf_315.20000000.sat,194121.0,0.0
hardware/cnf_cpipe_prop_7_16419_2.cnf_111.63000000.sat,93328936.2,96172473.7
hardware/cnf_cpipe_prop_8_18296_2.cnf_47.23000000.sat,97179373.8,101904359.2
hardware/cnf_cpipe_prop_9_19174_2.cnf_130.83000000.sat,102841140.8,108146884.9
hardware/cnf_mo_prop_10_14326_2.cnf_5.95000000.sat,38248569.3,41588935.4
hardware/cnf_mo_prop_11_15981_2.cnf_5.79000000.sat,37705176.0,41153283.3
hardware/cnf_mo_prop_1_790_2.cnf_0.00000000.sat,1875096.0,1972103.7
hardware/cnf_mo_prop_2_1768_2.cnf_0.00000000.sat,1875096.0,1972103.7
hardware/cnf_mo_prop_3_3311_2.cnf_9.30000000.sat,38703699.2,41701895.2
hardware/cnf_mo_prop_4_5236_2.cnf_43.96000000.sat,47950523.5,53136496.1
hardware/cnf_mo_prop_5_6974_2.cnf_6.11000000.sat,38087394.0,41205239.9
hardware/cnf_mo_prop_6_8441_2.cnf_39.93000000.sat,46282810.7,50357081.2
hardware/cnf_mo_prop_7_9141_2.cnf_7.56000000.sat,38726501.5,42160268.9
hardware/cnf_mo_prop_8_12004_2.cnf_0.00000000.sat,1874488.7,1972193.2
hardware/cnf_mo_prop_9_12912_2.cnf_0.00000000.sat,1874488.7,1972193.2
sortware/XSEngine,571243.8,740377.0
sortware/aaed2000,585862.8,749956.8
sortware/adder,587479.4,750249.4
sortware/adderII,591284.8,752771.4
sortware/aeb,543060.4,703680.8
sortware/aim711,579599.0,740588.4
sortware/aki3068net,554739.0,708582.4
sortware/am31_sim,540675.6,681025.0
sortware/asb,562966.2,718554.6
sortware/asb2305,553634.4,719766.0
sortware/assabet,564433.6,728361.8
sortware/at91sam7sek,578358.4,740703.4
sortware/at91sam7xek,590444.4,760779.0
sortware/atlas_mips32_4kc,547583.6,713454.0
sortware/atlas_mips64_5kc,549711.0,709047.8
sortware/axtls,44336.4,51061.2
sortware/brutus,556955.2,708726.2
sortware/buildroot,333384.8,346371.6
