Instance,cmsgen,cmsgen+SATDiv optimization
hardware/cnf_cbpmas_prop_10_16008_2.cnf_9.58000000.sat,788652.0,934962.8
hardware/cnf_cbpmas_prop_11_16336_2.cnf_8.83000000.sat,795100.1,932445.8
hardware/cnf_cbpmas_prop_12_16652_2.cnf_8.53000000.sat,795100.1,932445.8
hardware/cnf_cbpmas_prop_13_16976_2.cnf_12.90000000.sat,812963.5,936644.5
hardware/cnf_cbpmas_prop_14_17461_2.cnf_15.76000000.sat,812963.5,936644.5
hardware/cnf_cbpmas_prop_15_17791_2.cnf_8.99000000.sat,799756.4,934028.6
hardware/cnf_cbpmas_prop_16_18128_2.cnf_8.98000000.sat,799756.4,934028.6
hardware/cnf_cbpmas_prop_17_18428_2.cnf_12.10000000.sat,801185.3,935285.0
hardware/cnf_cbpmas_prop_18_18898_2.cnf_13.26000000.sat,801185.3,935285.0
hardware/cnf_cbpmas_prop_19_19151_2.cnf_0.00000000.sat,78853.1,90297.7
hardware/cnf_cbpmas_prop_1_12761_2.cnf_12.73000000.sat,797841.4,925396.5
hardware/cnf_cbpmas_prop_20_19379_2.cnf_9.60000000.sat,773389.9,903553.0
hardware/cnf_cbpmas_prop_21_19624_2.cnf_0.01000000.sat,78853.1,90297.7
hardware/cnf_cbpmas_prop_22_19855_2.cnf_9.97000000.sat,773389.9,903553.0
hardware/cnf_cbpmas_prop_23_20123_2.cnf_0.00000000.sat,78853.1,90283.5
hardware/cnf_cbpmas_prop_24_20378_2.cnf_11.87000000.sat,772991.1,910505.9
hardware/cnf_cbpmas_prop_25_20875_2.cnf_0.00000000.sat,78853.1,90297.7
hardware/cnf_cbpmas_prop_26_21271_2.cnf_12.78000000.sat,772991.1,910505.9
hardware/cnf_cbpmas_prop_27_21735_2.cnf_6.82000000.sat,783423.5,918820.0
hardware/cnf_cbpmas_prop_28_22074_2.cnf_6.85000000.sat,783423.5,918820.0
hardware/cnf_cbpmas_prop_29_22553_2.cnf_13.05000000.sat,789703.9,914731.5
hardware/cnf_cbpmas_prop_2_13116_2.cnf_9.98000000.sat,797841.4,925396.5
hardware/cnf_cbpmas_prop_30_22919_2.cnf_12.26000000.sat,789703.9,914731.5
hardware/cnf_cbpmas_prop_31_23259_2.cnf_8.05000000.sat,787357.9,927047.4
hardware/cnf_cbpmas_prop_32_23540_2.cnf_8.67000000.sat,787357.9,927047.4
hardware/cnf_cbpmas_prop_33_23781_2.cnf_8.77000000.sat,794761.9,927059.3
hardware/cnf_cbpmas_prop_34_24100_2.cnf_7.56000000.sat,794761.9,927059.3
hardware/cnf_cbpmas_prop_35_24416_2.cnf_9.77000000.sat,794788.1,927729.5
hardware/cnf_cbpmas_prop_36_25058_2.cnf_9.75000000.sat,794788.1,927729.5
hardware/cnf_cbpmas_prop_37_25392_2.cnf_0.16000000.sat,307758.8,351634.0
hardware/cnf_cbpmas_prop_3_13448_2.cnf_10.10000000.sat,788343.2,922112.7
hardware/cnf_cbpmas_prop_4_13712_2.cnf_10.78000000.sat,788343.2,922112.7
hardware/cnf_cbpmas_prop_5_13961_2.cnf_7.57000000.sat,805373.5,936637.3
hardware/cnf_cbpmas_prop_6_14201_2.cnf_8.90000000.sat,805373.5,936637.3
hardware/cnf_cbpmas_prop_7_14730_2.cnf_8.08000000.sat,804084.0,937692.6
hardware/cnf_cbpmas_prop_8_15004_2.cnf_8.69000000.sat,804084.0,937692.6
hardware/cnf_cbpmas_prop_9_15343_2.cnf_12.07000000.sat,788652.0,934962.8
hardware/cnf_cpipe_prop_10_20413_2.cnf_16.84000000.sat,2573086.0,2816236.8
hardware/cnf_cpipe_prop_11_21051_2.cnf_29.93000000.sat,2706204.5,2999643.0
hardware/cnf_cpipe_prop_12_21804_2.cnf_68.17000000.sat,2916884.1,3208345.4
hardware/cnf_cpipe_prop_13_23041_2.cnf_42.17000000.sat,2966696.7,3155644.1
hardware/cnf_cpipe_prop_14_23811_2.cnf_292.62000000.sat,5028329.9,5563933.0
hardware/cnf_cpipe_prop_15_25783_2.cnf_189.85000000.sat,4212324.5,4667611.8
hardware/cnf_cpipe_prop_16_27432_2.cnf_40.15000000.sat,2527431.1,2766107.7
hardware/cnf_cpipe_prop_17_28108_2.cnf_72.55000000.sat,2735180.5,2594339.2
